X,Y,Cu_ppm,Fe2O3_%,Au_ppb,Predicted_Cu_ppm,Predicted_Fe2O3_%,Predicted_Au_ppb
77.194444,15.277027,24.8,4.39845,3.0,22.167000000000012,3.8046165000000003,1.56
77.212963,15.277027,23.7,4.0683,15.0,23.929999999999986,4.033175000000002,2.85
77.231481,15.277027,25.6,4.4091,8.0,25.139999999999976,4.254445000000004,6.765
77.25,15.277027,20.9,3.1737,4.0,22.640000000000015,3.772297499999999,3.04
77.009259,15.295045,28.7,4.6221,5.0,29.401,5.073899000000005,4.3
77.027778,15.295045,23.4,5.46345,3.0,25.748000000000037,5.045151500000006,4.91
77.046296,15.295045,23.6,3.92985,5.0,21.859999999999964,3.787141499999994,5.94
77.064815,15.295045,16.3,3.2802,15.0,18.673999999999968,3.589654999999996,11.755
77.083333,15.295045,27.0,4.33455,3.0,26.427000000000003,4.234250499999998,3.505
77.101852,15.295045,28.4,4.82445,3.0,27.511000000000035,4.617201000000004,3.145
77.12037,15.295045,26.0,4.3026,4.0,27.14400000000001,4.468313999999996,3.67
77.138889,15.295045,31.3,4.97355,3.0,29.095000000000024,4.8876794999999955,3.245
77.157407,15.295045,24.5,3.99375,3.0,25.60100000000001,4.008348999999996,2.84
77.175926,15.295045,25.7,4.10025,3.0,24.119000000000007,3.935730499999998,2.01
77.194444,15.295045,21.9,3.46125,1.5,22.691000000000017,3.5632970000000053,1.63
77.212963,15.295045,24.5,3.8,1.5,24.106000000000005,3.713587500000005,1.965
77.231481,15.295045,24.6,3.26955,7.0,24.790999999999958,3.4418359999999986,6.47
77.25,15.295045,24.3,3.9618,1.5,23.924,3.7894254999999974,2.3819999999999997
77.009259,15.313063,25.0,4.07895,8.0,27.441000000000017,4.847274000000007,2.47
77.027778,15.313063,28.9,4.78185,4.0,25.790000000000013,4.6836835000000026,2.955
77.046296,15.313063,20.6,3.6423,1.5,21.000999999999966,3.708542999999996,1.9
77.064815,15.313063,18.8,3.82335,1.5,19.058999999999976,3.6866040000000027,2.525
77.083333,15.313063,18.3,3.14175,1.5,21.78999999999998,3.5839765000000012,1.53
77.101852,15.313063,30.5,4.6221,1.5,28.48700000000001,4.517804999999996,1.515
77.12037,15.313063,29.5,4.99485,1.5,29.158,4.8593504999999935,1.54
77.138889,15.313063,25.2,5.22,1.5,26.806999999999984,4.981890000000005,1.56
77.157407,15.313063,20.9,3.31215,3.0,26.173999999999968,4.231120499999996,1.73
77.175926,15.313063,27.6,4.2813,1.5,25.93999999999996,4.179895499999995,1.5
77.194444,15.313063,21.6,3.43995,1.5,23.120999999999963,3.6351275000000016,1.5
77.212963,15.313063,28.0,4.3665,1.5,26.357999999999993,4.085788999999996,1.57
77.231481,15.313063,23.8,3.7275,1.5,24.59,3.8300595000000004,1.785
77.25,15.313063,24.8,3.9192,1.5,25.059000000000005,3.9997929999999946,1.5
77.009259,15.331081,31.9,5.44215,1.5,27.910000000000018,5.012406000000009,1.67
77.027778,15.331081,20.6,4.61145,1.5,22.81999999999998,4.555217999999997,1.69
77.046296,15.331081,17.8,3.39735,1.5,18.30299999999998,3.457309500000002,1.525
77.064815,15.331081,14.2,3.0885,1.5,16.76700000000001,3.3564540000000034,1.77
77.083333,15.331081,21.2,3.6423,1.5,20.866000000000014,3.5736074999999987,1.5
77.101852,15.331081,25.8,4.3026,1.5,23.955999999999996,4.049129999999997,1.5
